# ./Data/BW2025-02-07_15:55:39_LCal2_BNC.txt
# Duration (in s): 30
# Pointing Position of the Horn: Sky
# Angle pointing (from horizontal perpendicular to supporting axis): 48.70
# Angle pointing (from horizontal parallel to supporting axis):  NA
# Calibrator used: YES
# Temperature Outside (in celcius): 25.4
# Temperature of the calibrator (in celcius): Low
# Weather: very clear
# Units: Volts
5.323014259338378906e+00 -9.361000000000000432e-01
5.380011081695556641e+00 -9.360000000000000542e-01
5.423021078109741211e+00 -9.361000000000000432e-01
5.479014158248901367e+00 -9.362000000000000322e-01
5.521975040435791016e+00 -9.364999999999999991e-01
5.579058170318603516e+00 -9.366999999999999771e-01
5.621986150741577148e+00 -9.361000000000000432e-01
5.678999185562133789e+00 -9.365999999999999881e-01
5.721022367477416992e+00 -9.364000000000000101e-01
5.777987241744995117e+00 -9.364999999999999991e-01
5.820958375930786133e+00 -9.364999999999999991e-01
5.877969264984130859e+00 -9.366999999999999771e-01
5.919956207275390625e+00 -9.363000000000000211e-01
5.977055311203002930e+00 -9.365999999999999881e-01
6.019948005676269531e+00 -9.365999999999999881e-01
6.076974153518676758e+00 -9.368999999999999551e-01
6.118950128555297852e+00 -9.366999999999999771e-01
6.175909280776977539e+00 -9.371000000000000441e-01
6.218917131423950195e+00 -9.370000000000000551e-01
6.275955200195312500e+00 -9.372000000000000330e-01
6.318900346755981445e+00 -9.372000000000000330e-01
6.374939203262329102e+00 -9.370000000000000551e-01
6.431907176971435547e+00 -9.365999999999999881e-01
6.474928140640258789e+00 -9.372000000000000330e-01
6.531892299652099609e+00 -9.368999999999999551e-01
6.574911355972290039e+00 -9.375000000000000000e-01
6.630868196487426758e+00 -9.372000000000000330e-01
6.673922061920166016e+00 -9.367999999999999661e-01
6.730914115905761719e+00 -9.365999999999999881e-01
6.772853374481201172e+00 -9.367999999999999661e-01
6.829844236373901367e+00 -9.368999999999999551e-01
6.872866153717041016e+00 -9.371000000000000441e-01
6.929857015609741211e+00 -9.370000000000000551e-01
6.971845149993896484e+00 -9.370000000000000551e-01
7.028844118118286133e+00 -9.373000000000000220e-01
7.071840286254882812e+00 -9.377999999999999670e-01
7.128831386566162109e+00 -9.386999999999999789e-01
7.171818256378173828e+00 -9.392000000000000348e-01
7.227965354919433594e+00 -9.396999999999999797e-01
