# ./Data/BW2025-02-07_14:52:09_LCal2_BNC.txt
# Duration (in s): 30
# Pointing Position of the Horn: Sky
# Angle pointing (from horizontal perpendicular to supporting axis): 48.70
# Angle pointing (from horizontal parallel to supporting axis): 0
# Calibrator used: NO
# Temperature Outside (in celcius): 25.4
# Temperature of the calibrator (in celcius): Low
# Weather: very clear
# Units: Volts
2.504491090774536133e+00 -8.404000000000000359e-01
2.561486959457397461e+00 -8.399999999999999689e-01
2.604284048080444336e+00 -8.400999999999999579e-01
2.660285949707031250e+00 -8.399999999999999689e-01
2.703257083892822266e+00 -8.403000000000000469e-01
2.760237216949462891e+00 -8.399999999999999689e-01
2.803215026855468750e+00 -8.401999999999999469e-01
2.860213041305541992e+00 -8.403000000000000469e-01
2.902217149734497070e+00 -8.403000000000000469e-01
2.959253072738647461e+00 -8.403000000000000469e-01
3.002311944961547852e+00 -8.398999999999999799e-01
3.059252023696899414e+00 -8.403000000000000469e-01
3.102202892303466797e+00 -8.401999999999999469e-01
3.159211158752441406e+00 -8.403000000000000469e-01
3.215173959732055664e+00 -8.404000000000000359e-01
3.258199214935302734e+00 -8.403000000000000469e-01
3.315180063247680664e+00 -8.400999999999999579e-01
3.358152151107788086e+00 -8.403000000000000469e-01
3.415177106857299805e+00 -8.404000000000000359e-01
3.457180023193359375e+00 -8.405000000000000249e-01
3.514245986938476562e+00 -8.404000000000000359e-01
3.557178974151611328e+00 -8.404000000000000359e-01
3.614143133163452148e+00 -8.403000000000000469e-01
3.657145261764526367e+00 -8.403000000000000469e-01
3.713146924972534180e+00 -8.403000000000000469e-01
3.756135940551757812e+00 -8.403000000000000469e-01
3.813175201416015625e+00 -8.401999999999999469e-01
3.856172084808349609e+00 -8.404000000000000359e-01
3.913218259811401367e+00 -8.401999999999999469e-01
3.955116033554077148e+00 -8.403000000000000469e-01
4.012236118316650391e+00 -8.400999999999999579e-01
4.055294990539550781e+00 -8.404000000000000359e-01
4.112128019332885742e+00 -8.403000000000000469e-01
4.155216932296752930e+00 -8.403000000000000469e-01
4.211268901824951172e+00 -8.401999999999999469e-01
4.254230022430419922e+00 -8.404000000000000359e-01
4.311131000518798828e+00 -8.404000000000000359e-01
4.368186950683593750e+00 -8.404000000000000359e-01
4.411105155944824219e+00 -8.403000000000000469e-01
4.468227148056030273e+00 -8.404000000000000359e-01
4.510076045989990234e+00 -8.404000000000000359e-01
4.567069053649902344e+00 -8.399999999999999689e-01
4.610145092010498047e+00 -8.403000000000000469e-01
4.667129993438720703e+00 -8.406000000000000139e-01
4.711616039276123047e+00 -8.407000000000000028e-01
4.766166210174560547e+00 -8.401999999999999469e-01
4.809016227722167969e+00 -8.404000000000000359e-01
4.866075038909912109e+00 -8.403000000000000469e-01
4.923161268234252930e+00 -8.403000000000000469e-01
